"release_location_state","release_location_rmis_region","stock_location_name","stock_location_code","N.year","first.year","last.year","total.release","avg.ann.release"
"WA","CECR","LTL WHITE SALMON-NFH","3F42001  290131 S02",21,1982,2015,2230709,106224.238095238
"WA","CRGN","LTL WHITE SALMON-NFH","3F42001  290131 S02",3,2003,2006,144945,48315
"WA","CECR","KLICKITAT R  30.0002","3F42001  300002 S",28,1975,2013,5585142,199469.357142857
"WA","LOCR","SNAKE R-LOWR 33.0002","3F42001  330002 S",12,1975,1988,1280002,106666.833333333
"WA","SNAK","SNAKE R-LOWR 33.0002","3F42001  330002 S",12,1975,1991,1029452,85787.6666666667
"WA","SNAK","TUCANNON R CAPTIVE","3F42001  350009 H01",14,1993,2006,1871987,133713.357142857
"WA","SNAK","TUCANNON R   35.0009","3F42001  350009 S",10,1992,2015,1949264,194926.4
"WA","UPCR","YAKIMA R-UPR 39.0002","3F42001  390002 S",19,1997,2015,13696004,720842.315789474
"WA","UPCR","LEAVENWORTH HATCHERY","3F42001  450474 S",34,1976,2015,11472713,337432.735294118
"WA","UPCR","CHIWAWA R    45.0759","3F42001  450759 S",25,1989,2015,5957855,238314.2
"WA","UPCR","ENTIAT R     46.0042","3F42001  460042 S",18,1975,2006,3351055,186169.722222222
"WA","CECR","METHOW R     48.0002","3F42001  480002 S",1,2000,2000,68082,68082
"WA","UPCR","METHOW R     48.0002","3F42001  480002 S",27,1988,2015,15307399,566940.703703704
"WA","UPCR","TWISP R      48.0374","3F42001  480374 S",23,1992,2015,1311403,57017.5217391304
"WA","LOCR","RAPID RIVER","4F1-17060210002-HUU",1,1978,1978,38000,38000
"WA","LOCR","KOOSKIA","4F1-17060304002-HUU",1,1978,1978,62300,62300
"WA","SNAK","KOOSKIA","4F1-17060304002-HUU",1,1978,1978,46300,46300
"WA","UPCR","MCKENZIE HATCHERY","5F333    23",1,1996,1996,36608,36608
"WA","UPCR","LOSTINE R ENDEMIC","5F334    200",1,2003,2003,22631,22631
